"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"137",137,2023-10-21,"Syracuse",1,"Boston University",6,0,"Non-Conference",0.62161690403927,0.37838309596073,1405.87690215635,1334.64046627864,1455.06670463125,1285.45066380375,0,71.2364358777111
"138",138,2023-10-21,"Lindenwood",0,"St. Cloud State",5,0,"Non-Conference",0.868202586262248,0.131797413737752,1659.32966649235,1346.84399167815,1676.46333027826,1329.71032789224,0,312.485674814198
"139",139,2023-10-21,"Holy Cross",2,"Boston College",2,1,"Hockey East",0.868021361036055,0.131978638963945,1611.18373435915,1298.97302738172,1578.06181186591,1332.09494987497,1,312.210706977429
"140",140,2023-10-21,"Maine",2,"Providence",3,0,"Hockey East",0.441180351242521,0.558819648757479,1428.79840193824,1484.86060429846,1483.56272751647,1430.09627872023,0,56.06220236022
"141",141,2023-10-21,"New Hampshire",0,"Connecticut",4,0,"Hockey East",0.307893331640909,0.692106668359091,1427.6849491743,1583.39404940828,1512.12196271411,1498.95703586847,0,155.709100233978
"142",142,2023-10-21,"Vermont",4,"Merrimack",2,0,"Hockey East",0.336992867500889,0.663007132499111,1533.67770380408,1666.23670037044,1497.95645984899,1701.95794432554,0,132.558996566362
"143",143,2023-10-21,"Bemidji State",1,"Wisconsin",8,0,"WCHA",0.98695426159093,0.0130457384090696,1924.12174323099,1187.59039892795,1926.02642103872,1185.68572112023,0,736.531344303042
"144",144,2023-10-21,"Ohio State",7,"St. Thomas",1,0,"WCHA",0.0937778529703674,0.906222147029633,1485.92441283654,1894.97816732494,1472.98306912663,1907.91951103485,0,409.0537544884
"145",145,2023-10-21,"Minnesota-Duluth",4,"Minnesota State",1,0,"WCHA",0.270614717737776,0.729385282262224,1511.28441713024,1698.5266503986,1480.43433930813,1729.37672822071,0,187.242233268361
"146",146,2023-10-21,"Yale",3,"Quinnipiac",6,0,"ECAC",0.571699805062826,0.428300194937174,1798.38189239752,1763.2139835706,1847.20811462036,1714.38776134776,0,35.1679088269234
"147",147,2023-10-21,"Rensselaer",5,"Harvard",4,1,"ECAC",0.240097396984048,0.759902603015952,1268.75940667884,1483.90759887574,1245.2298617744,1507.43714378017,0,215.148192196896
"148",148,2023-10-21,"Union",1,"Dartmouth",1,1,"ECAC",0.598118075827199,0.401881924172801,1432.6975612435,1378.62217942604,1423.86693441905,1387.45280625049,1,54.0753818174567
"149",149,2023-10-21,"Brown",0,"Princeton",3,0,"ECAC",0.813393577524758,0.186606422475242,1599.56636707529,1358.81670625242,1620.83949923747,1337.54357409024,0,240.749660822876
"150",150,2023-10-27,"Merrimack",0,"Boston College",3,0,"Hockey East",0.633548508962859,0.366451491037141,1578.06181186591,1497.95645984899,1619.83728184414,1456.18098987075,0,80.105352016918
"151",151,2023-10-27,"New Hampshire",3,"Vermont",6,0,"Hockey East",0.778149357004249,0.221850642995751,1701.95794432554,1498.95703586847,1727.24891762705,1473.66606256696,0,203.000908457065
"152",152,2023-10-27,"Providence",1,"Connecticut",6,0,"Hockey East",0.56236038257191,0.43763961742809,1512.12196271411,1483.56272751647,1569.01511297976,1426.66957725082,0,28.5592351976409
"153",153,2023-10-27,"Holy Cross",1,"Northeastern",0,1,"Hockey East",0.886427921332901,0.113572078667099,1674.04369096637,1332.09494987497,1587.17375467574,1418.96488616559,0,341.9487410914
"154",154,2023-10-27,"Princeton",2,"St. Lawrence",7,0,"ECAC",0.680057945639349,0.319942054360651,1736.82933526752,1620.83949923747,1778.4218023344,1579.24703217058,0,115.989836030051
"155",155,2023-10-27,"Quinnipiac",1,"Clarkson",3,0,"ECAC",0.444978941531928,0.555021058468072,1793.82011354481,1847.20811462036,1852.65234574243,1788.37588242274,0,53.3880010755477
"156",156,2023-10-27,"Dartmouth",1,"Brown",7,0,"ECAC",0.398775390023141,0.60122460997686,1337.54357409024,1423.86693441905,1420.51257026704,1340.89793824225,0,86.3233603288138
"157",157,2023-10-27,"Harvard",1,"Yale",2,0,"ECAC",0.941971289847042,0.0580287101529575,1714.38776134776,1245.2298617744,1720.07457494275,1239.54304817941,0,469.157899573356
"158",158,2023-10-27,"Colgate",4,"Rensselaer",3,0,"ECAC",0.145796965030496,0.854203034969504,1507.43714378017,1829.56219438459,1493.14904120718,1843.85029695758,0,322.125050604416
"159",159,2023-10-27,"Cornell",4,"Union",2,0,"ECAC",0.176343095492293,0.823656904507707,1387.45280625049,1670.20795957747,1368.76043812831,1688.90032769965,0,282.75515332698
"160",160,2023-10-27,"Minnesota-Duluth",2,"Bemidji State",1,0,"WCHA",0.045503702001278,0.954496297998722,1185.68572112023,1729.37672822071,1181.2263583241,1733.83609101683,0,543.691007100482
"161",161,2023-10-27,"Minnesota",3,"Ohio State",4,1,"WCHA",0.573466295965732,0.426533704034268,1907.91951103485,1871.49769332013,1949.71981403021,1829.69739032478,0,36.4218177147168
"162",162,2023-10-27,"Wisconsin",5,"St. Thomas",3,0,"WCHA",0.0743591049876698,0.92564089501233,1472.98306912663,1926.02642103872,1465.10100399794,1933.90848616741,0,453.043351912088
"163",163,2023-10-27,"St. Cloud State",3,"Minnesota State",1,0,"WCHA",0.260747576025141,0.73925242397486,1480.43433930813,1676.46333027826,1452.79509624947,1704.10257333692,0,196.028990970121
"164",164,2023-10-27,"Saint Michael's",1,"Post",3,0,"NEWHA",0.501292656932468,0.498707343067532,1092.16759341632,1106.26936137868,1145.03057178148,1053.40638301352,0,14.1017679623576
"165",165,2023-10-27,"Sacred Heart",3,"Saint Anselm",5,0,"NEWHA",0.629448603735411,0.370551396264589,1271.00924524362,1193.96451706132,1310.28769324767,1154.68606905727,0,77.0447281822987
"166",166,2023-10-27,"Stonehill",5,"Assumption",1,0,"NEWHA",0.521303503057741,0.478696496942259,1262.91758388691,1263.10542630884,1199.31855651386,1326.70445368189,0,0.187842421935329
"167",167,2023-10-27,"Long Island",3,"Franklin Pierce",1,0,"NEWHA",0.43622312478021,0.56377687521979,1415.11061075157,1474.67004026593,1368.87095952487,1520.90969149263,0,59.5594295143599
"168",168,2023-10-27,"Lindenwood",6,"RIT",3,0,"CHA",0.70679457643883,0.29320542356117,1467.55881145582,1329.71032789224,1386.98422974179,1410.28490960627,0,137.84848356358
"169",169,2023-10-27,"Robert Morris",2,"Mercyhurst",9,0,"CHA",0.578919045727878,0.421080954272122,1443.39557668411,1403.0946810532,1504.87339600784,1341.61686172947,0,40.3008956309081
"170",170,2023-10-28,"Lindenwood",2,"RIT",6,0,"CHA",0.488056633737113,0.511943366262887,1386.98422974179,1410.28490960627,1449.44132042587,1347.8278189222,0,23.3006798644738
"171",171,2023-10-28,"Penn State",4,"Syracuse",2,0,"CHA",0.292033257628705,0.707966742371295,1285.45066380375,1454.28288124693,1254.4951384951,1485.23840655557,0,168.832217443181
"172",172,2023-10-28,"Robert Morris",3,"Mercyhurst",2,0,"CHA",0.736164364057044,0.263835635942956,1504.87339600784,1341.61686172947,1432.72928833025,1413.76096940706,0,163.256534278368
"173",173,2023-10-28,"Assumption",1,"Stonehill",3,0,"NEWHA",0.694159727952487,0.305840272047513,1326.70445368189,1199.31855651386,1359.12352251892,1166.89948767683,0,127.385897168024
"174",174,2023-10-28,"Saint Michael's",0,"Post",1,0,"NEWHA",0.64880217102963,0.35119782897037,1145.03057178148,1053.40638301352,1179.44795902058,1018.98899577443,0,91.6241887679591
"175",175,2023-10-28,"Long Island",4,"Franklin Pierce",1,0,"NEWHA",0.312413855613435,0.687586144386565,1368.87095952487,1520.90969149263,1333.25577998494,1556.52487103256,0,152.038731967764
"176",176,2023-10-28,"Sacred Heart",1,"Saint Anselm",5,0,"NEWHA",0.727517149097117,0.272482850902883,1310.28769324767,1154.68606905727,1343.53060105782,1121.44316124712,0,155.601624190391
"177",177,2023-10-28,"Boston College",3,"Merrimack",2,1,"Hockey East",0.298231320494638,0.701768679505362,1456.18098987075,1619.83728184414,1426.95432046228,1649.06395125261,0,163.656291973386
"178",178,2023-10-28,"Northeastern",4,"Holy Cross",2,0,"Hockey East",0.292775688174513,0.707224311825487,1418.96488616559,1587.17375467574,1387.93066321909,1618.20797762224,0,168.208868510152
"179",179,2023-10-28,"New Hampshire",1,"Vermont",2,1,"Hockey East",0.824347882686373,0.175652117313627,1727.24891762705,1473.66606256696,1744.46282512379,1456.45215507022,0,253.582855060097
"180",180,2023-10-28,"Boston University",4,"Maine",3,0,"Hockey East",0.485655341234716,0.514344658765284,1430.09627872023,1455.06670463125,1382.50205527922,1502.66092807225,0,24.9704259110222
"181",181,2023-10-28,"Minnesota-Duluth",6,"Bemidji State",0,0,"WCHA",0.0433251452495941,0.956674854750406,1181.2263583241,1733.83609101683,1175.24748827966,1739.81496106128,0,552.609732692732
"182",182,2023-10-28,"Minnesota",5,"Ohio State",6,0,"WCHA",0.685087457981925,0.314912542018075,1949.71981403021,1829.69739032478,1980.58124314798,1798.835961207,0,120.022423705434
"183",183,2023-10-28,"St. Cloud State",2,"Minnesota State",0,0,"WCHA",0.204192331133306,0.795807668866694,1452.79509624947,1704.10257333692,1431.15070914934,1725.74696043705,0,251.307477087451
"184",184,2023-10-28,"Wisconsin",3,"St. Thomas",0,0,"WCHA",0.0683493495720539,0.931650650427946,1465.10100399794,1933.90848616741,1457.30917814672,1941.70031201862,0,468.807482169474
"185",185,2023-10-28,"Princeton",0,"Clarkson",1,0,"ECAC",0.840264102509114,0.159735897490886,1852.65234574243,1579.24703217058,1868.30646369653,1563.59291421648,0,273.405313571841
"186",186,2023-10-28,"Cornell",2,"Rensselaer",1,0,"ECAC",0.261055836369779,0.738944163630221,1493.14904120718,1688.90032769965,1467.56556924295,1714.48379966389,0,195.751286492469
"187",187,2023-10-28,"Dartmouth",0,"Yale",8,0,"ECAC",0.90628224431864,0.0937177556813595,1720.07457494275,1340.89793824225,1734.50710931768,1326.46540386732,0,379.176636700504
"188",188,2023-10-28,"Quinnipiac",1,"St. Lawrence",4,0,"ECAC",0.50726115196357,0.49273884803643,1778.4218023344,1788.37588242274,1834.59403101056,1732.20365374659,0,9.9540800883376
"189",189,2023-10-28,"Colgate",4,"Union",0,0,"ECAC",0.0660821307683049,0.933917869231695,1368.76043812831,1843.85029695758,1360.69841817457,1851.91231691131,0,475.089858829269
"190",190,2023-10-28,"Harvard",1,"Brown",2,0,"ECAC",0.755486474160944,0.244513525839056,1420.51257026704,1239.54304817941,1444.47489579927,1215.58072264719,0,180.969522087631
"191",191,2023-10-29,"Penn State",6,"Syracuse",2,0,"CHA",0.224102292208734,0.775897707791266,1254.4951384951,1485.23840655557,1227.15465884564,1512.57888620504,0,230.743268060467
"192",192,2023-11-03,"Maine",4,"Boston College",3,0,"Hockey East",0.834905507373352,0.165094492626648,1649.06395125261,1382.50205527922,1567.24321153003,1464.32279500181,0,266.56189597339
"193",193,2023-11-03,"Boston University",2,"Merrimack",1,1,"Hockey East",0.413514509744098,0.586485490255902,1426.95432046228,1502.66092807225,1386.42989850736,1543.18535002717,0,75.7066076099716
"194",194,2023-11-03,"Vermont",2,"Holy Cross",3,1,"Hockey East",0.122817326641163,0.877182673358837,1387.93066321909,1744.46282512379,1473.89456520826,1658.49892313462,0,356.532161904697
"195",195,2023-11-03,"Connecticut",3,"Northeastern",0,0,"Hockey East",0.591343914690785,0.408656085309215,1618.20797762224,1569.01511297976,1550.79477134749,1636.42831925451,0,49.1928646424767
"196",196,2023-11-03,"New Hampshire",3,"Providence",1,0,"Hockey East",0.478738988513511,0.521261011486489,1426.66957725082,1456.45215507022,1375.92324446839,1507.19848785265,0,29.7825778194015
"197",197,2023-11-03,"Clarkson",4,"Union",1,0,"ECAC",0.0554262815967117,0.944573718403288,1360.69841817457,1868.30646369653,1354.37982207255,1874.62505979856,0,507.608045521958
"198",198,2023-11-03,"Yale",1,"Cornell",6,0,"ECAC",0.492771379981497,0.507228620018503,1714.48379966389,1734.50710931768,1780.4235202663,1668.56738871527,0,20.0233096537866
"199",199,2023-11-03,"Brown",2,"Colgate",4,0,"ECAC",0.919216227580386,0.080783772419614,1851.91231691131,1444.47489579927,1860.47539678779,1435.91181592279,0,407.437421112038
"200",200,2023-11-03,"St. Lawrence",4,"Rensselaer",1,0,"ECAC",0.116454852967509,0.883545147032491,1467.56556924295,1834.59403101056,1454.28971600465,1847.86988424885,0,367.028461767612
"201",201,2023-11-03,"Dartmouth",2,"Quinnipiac",3,0,"ECAC",0.918486911748275,0.0815130882517251,1732.20365374659,1326.46540386732,1740.19193639526,1318.47712121865,0,405.738249879274
"202",202,2023-11-03,"Harvard",1,"Princeton",1,1,"ECAC",0.889894718784446,0.110105281215554,1563.59291421648,1215.58072264719,1528.50238952588,1250.67124733779,1,348.012191569292
"203",203,2023-11-03,"Wisconsin",4,"St. Cloud State",2,0,"WCHA",0.239252780950878,0.760747219049122,1725.74696043705,1941.70031201862,1700.38616565626,1967.06110679942,0,215.953351581573
"204",204,2023-11-03,"St. Thomas",1,"Minnesota-Duluth",3,0,"WCHA",0.847170745981855,0.152829254018145,1739.81496106128,1457.30917814672,1756.0148619872,1441.1092772208,0,282.505782914556
"205",205,2023-11-03,"Ohio State",9,"Bemidji State",1,0,"WCHA",0.0104616036753621,0.989538396324638,1175.24748827966,1980.58124314798,1173.63640131365,1982.19233011399,0,805.333754868323
"206",206,2023-11-03,"Minnesota State",1,"Minnesota",3,0,"WCHA",0.900510829513122,0.0994891704868783,1798.835961207,1431.15070914934,1809.38181327861,1420.60485707773,0,367.685252057665
"207",207,2023-11-03,"Assumption",1,"Long Island",3,0,"NEWHA",0.911267554837825,0.0887324451621747,1556.52487103256,1166.89948767683,1565.93051021976,1157.49384848963,0,389.62538335574
"208",208,2023-11-03,"Saint Anselm",3,"Post",1,0,"NEWHA",0.29771792265395,0.70228207734605,1179.44795902058,1343.53060105782,1147.88985921926,1375.08870085914,0,164.082642037241
"209",209,2023-11-03,"Saint Michael's",1,"Stonehill",6,0,"NEWHA",0.885372291787542,0.114627708212458,1359.12352251892,1018.98899577443,1374.02512458654,1004.08739370681,0,340.134526744497
"210",210,2023-11-03,"Franklin Pierce",1,"Sacred Heart",5,0,"NEWHA",0.243618112364924,0.756381887635076,1121.44316124712,1333.25577998494,1213.7217515386,1240.97718969346,0,211.812618737815
"211",211,2023-11-03,"Penn State",4,"Lindenwood",2,0,"CHA",0.296914051070581,0.703085948929419,1347.8278189222,1512.57888620504,1316.35492950871,1544.05177561852,0,164.751067282841
"212",212,2023-11-03,"Mercyhurst",3,"RIT",1,0,"CHA",0.545510968210114,0.454489031789886,1449.44132042587,1432.72928833025,1391.61715779559,1490.55345096052,0,16.7120320956176
"213",213,2023-11-03,"Syracuse",2,"Robert Morris",4,0,"CHA",0.761430678917744,0.238569321082256,1413.76096940706,1227.15465884564,1439.04931744178,1201.86631081092,0,186.606310561422
"214",214,2023-11-04,"Wisconsin",5,"St. Cloud State",2,0,"WCHA",0.19019287404436,0.80980712595564,1700.38616565626,1967.06110679942,1678.7041780152,1988.74309444047,0,266.674941143159
"215",215,2023-11-04,"Minnesota",2,"Minnesota State",1,0,"WCHA",0.104178712939667,0.895821287060333,1420.60485707773,1809.38181327861,1410.39534320964,1819.5913271467,0,388.776956200883
"216",216,2023-11-04,"Ohio State",5,"Bemidji State",0,0,"WCHA",0.0102713217210733,0.989728678278927,1173.63640131365,1982.19233011399,1172.30112948991,1983.52760193773,0,808.555928800335
"217",217,2023-11-04,"St. Thomas",0,"Minnesota-Duluth",4,0,"WCHA",0.869788406770354,0.130211593229646,1756.0148619872,1441.1092772208,1771.90067636122,1425.22346284678,0,314.905584766403
"218",218,2023-11-04,"Saint Anselm",3,"Post",0,0,"NEWHA",0.227669997181129,0.772330002818871,1147.88985921926,1375.08870085914,1121.93547954061,1401.04308053779,0,227.198841639879
"219",219,2023-11-04,"Saint Michael's",5,"Stonehill",6,1,"NEWHA",0.901666477563792,0.0983335224362079,1374.02512458654,1004.08739370681,1383.66180978529,994.450708508057,0,369.937730879736
"220",220,2023-11-04,"Assumption",0,"Long Island",3,0,"NEWHA",0.919642336289394,0.080357663710606,1565.93051021976,1157.49384848963,1575.09128388276,1148.33307482663,0,408.43666173012
"221",221,2023-11-04,"Franklin Pierce",1,"Sacred Heart",2,0,"NEWHA",0.482370318076181,0.517629681923819,1213.7217515386,1240.97718969346,1264.44946036714,1190.24948086492,0,27.2554381548562
"222",222,2023-11-04,"Dartmouth",2,"Princeton",5,0,"ECAC",0.785051283111634,0.214948716888366,1528.50238952588,1318.47712121865,1553.00654325115,1293.97296749337,0,210.025268307231
"223",223,2023-11-04,"St. Lawrence",6,"Union",1,0,"ECAC",0.0598380607248725,0.940161939275127,1354.37982207255,1847.86988424885,1346.60087417832,1855.64883214309,0,493.490062176304
"224",224,2023-11-04,"Harvard",1,"Quinnipiac",7,0,"ECAC",0.948056353943,0.0519436460570002,1740.19193639526,1250.67124733779,1747.36015955112,1243.50302418192,0,489.520689057472
"225",225,2023-11-04,"Clarkson",5,"Rensselaer",1,0,"ECAC",0.0884025406516875,0.911597459348312,1454.28971600465,1874.62505979856,1443.50460604514,1885.41016975806,0,420.335343793908
"226",226,2023-11-04,"Yale",0,"Colgate",4,0,"ECAC",0.766930275740305,0.233069724259695,1860.47539678779,1668.56738871527,1888.90990314747,1640.13288235559,0,191.908008072516
"227",227,2023-11-04,"Brown",1,"Cornell",5,0,"ECAC",0.887904770952942,0.112095229047058,1780.4235202663,1435.91181592279,1794.09913821004,1422.23619797905,0,344.511704343505
"228",228,2023-11-04,"Syracuse",2,"Robert Morris",3,0,"CHA",0.810257172664937,0.189742827335063,1439.04931744178,1201.86631081092,1457.64411452062,1183.27151373208,0,237.183006630861
"229",229,2023-11-04,"Mercyhurst",2,"RIT",3,1,"CHA",0.381502406205939,0.618497593794061,1391.61715779559,1490.55345096052,1452.22992198741,1429.9406867687,0,98.9362931649264
"230",230,2023-11-04,"Penn State",8,"Lindenwood",2,0,"CHA",0.22716631286502,0.77283368713498,1316.35492950871,1544.05177561852,1285.00597833334,1575.40072679389,0,227.696846109804
"231",231,2023-11-04,"Maine",2,"Boston College",4,0,"Hockey East",0.66347181821838,0.33652818178162,1567.24321153003,1464.32279500181,1602.91519879888,1428.65080773296,0,102.920416528213
"232",232,2023-11-04,"Merrimack",3,"Boston University",4,1,"Hockey East",0.728831833591238,0.271168166408762,1543.18535002717,1386.42989850736,1569.75983033523,1359.8554181993,0,156.755451519815
"233",233,2023-11-04,"Northeastern",0,"Connecticut",1,0,"Hockey East",0.640904771141311,0.359095228858689,1636.42831925451,1550.79477134749,1671.61965168267,1515.60343891934,0,85.6335479070221
"234",234,2023-11-04,"Providence",1,"New Hampshire",0,0,"Hockey East",0.698892161566558,0.301107838433442,1507.19848785265,1375.92324446839,1438.70705601913,1444.41467630191,0,131.275243384266
"235",235,2023-11-08,"St. Lawrence",3,"Clarkson",6,0,"Non-Conference",0.564062695567292,0.435937304432708,1885.41016975806,1855.64883214309,1935.10702246339,1805.95197943776,0,29.7613376149766
"236",236,2023-11-08,"Post",1,"Quinnipiac",12,0,"Non-Conference",0.97555499903795,0.02444500096205,1747.36015955112,1121.93547954061,1751.71136972237,1117.58426936936,0,625.424680010515
"237",237,2023-11-09,"Minnesota State",1,"St. Thomas",4,0,"Non-Conference",0.542820960959264,0.457179039040736,1425.22346284678,1410.39534320964,1477.34187329743,1358.276932759,0,14.828119637139
"238",238,2023-11-10,"Connecticut",1,"Maine",0,0,"Hockey East",0.212103202301222,0.787896797698778,1428.65080773296,1671.61965168267,1407.86469390744,1692.40576550819,0,242.968843949705
"239",239,2023-11-10,"Boston College",6,"Vermont",3,0,"Hockey East",0.600203375684472,0.399796624315528,1658.49892313462,1602.91519879888,1590.07573830659,1671.33838362691,0,55.583724335746
"240",240,2023-11-10,"New Hampshire",4,"Boston University",2,0,"Hockey East",0.698622593690339,0.301377406309661,1569.75983033523,1438.70705601913,1495.70583540405,1512.76105095031,0,131.052774316099
"241",241,2023-11-10,"Holy Cross",2,"Merrimack",2,1,"Hockey East",0.361210252980414,0.638789747019586,1359.8554181993,1473.89456520826,1372.34649543106,1461.4034879765,1,114.03914700896
"242",242,2023-11-10,"Providence",1,"Northeastern",6,0,"Hockey East",0.621552353543017,0.378447646456983,1515.60343891934,1444.41467630191,1564.80163295875,1395.2164822625,0,71.1887626174293
"243",243,2023-11-10,"Stonehill",1,"Sacred Heart",0,0,"NEWHA",0.354367829580564,0.645632170419436,1264.44946036714,1383.66180978529,1229.72141306824,1418.38985708419,0,119.212349418154
"244",244,2023-11-10,"Saint Anselm",2,"Long Island",4,0,"NEWHA",0.748051841672941,0.251948158327059,1575.09128388276,1401.04308053779,1601.79778866543,1374.33657575512,0,174.048203344979
"245",245,2023-11-10,"Saint Michael's",1,"Assumption",5,0,"NEWHA",0.725550827361885,0.274449172638115,1148.33307482663,994.450708508057,1181.81587388848,960.967909446207,0,153.882366318569
"246",246,2023-11-10,"Post",0,"Franklin Pierce",6,0,"NEWHA",0.623549484717868,0.376450515282132,1190.24948086492,1117.58426936936,1242.19965197386,1065.63409826043,0,72.6652114955596
"247",247,2023-11-10,"Mercyhurst",3,"Princeton",4,0,"Non-Conference",0.688854828532415,0.311145171467585,1553.00654325115,1429.9406867687,1583.49877005497,1399.44845996488,0,123.065856482448
"248",248,2023-11-10,"Cornell",5,"Harvard",1,0,"ECAC",0.0438081344857918,0.956191865514208,1243.50302418192,1794.09913821004,1238.15843177465,1799.44373061731,0,550.596114028118
"249",249,2023-11-10,"Rensselaer",2,"Brown",3,0,"ECAC",0.49098001432474,0.50901998567526,1422.23619797905,1443.50460604514,1472.12015657523,1393.62064744897,0,21.2684080660927
"250",250,2023-11-10,"Colgate",8,"Dartmouth",1,0,"ECAC",0.0342775664146929,0.965722433585307,1293.97296749337,1888.90990314747,1288.96844279683,1893.91442784402,0,594.936935654099
"251",251,2023-11-10,"Union",2,"Yale",3,1,"ECAC",0.855208807655821,0.144791192344179,1640.13288235559,1346.60087417832,1654.32241920532,1332.41133732859,0,293.532008177274
"252",252,2023-11-11,"Connecticut",3,"Maine",1,0,"Hockey East",0.174854846468504,0.825145153531496,1407.86469390744,1692.40576550819,1389.33008018178,1710.94037923385,0,284.541071600745
"253",253,2023-11-11,"Boston College",2,"Vermont",3,0,"Hockey East",0.40578000771729,0.59421999228271,1590.07573830659,1671.33838362691,1648.3092975503,1613.1048243832,0,81.2626453203138
"254",254,2023-11-11,"Northeastern",1,"Providence",3,0,"Hockey East",0.291137964235871,0.708862035764129,1395.2164822625,1564.80163295875,1470.3558580535,1489.66225716775,0,169.585150696245
"255",255,2023-11-11,"Boston University",5,"New Hampshire",3,0,"Hockey East",0.546000712906909,0.453999287093091,1512.76105095031,1495.70583540405,1454.88497538217,1553.58191097219,0,17.0552155462526
"256",256,2023-11-11,"Merrimack",4,"Holy Cross",3,0,"Hockey East",0.64542753436399,0.35457246563601,1461.4034879765,1372.34649543106,1398.15158960882,1435.59839379873,0,89.0569925454342
"257",257,2023-11-11,"Stonehill",2,"Sacred Heart",4,0,"NEWHA",0.268997277416195,0.731002722583805,1229.72141306824,1418.38985708419,1307.20770166212,1340.9035684903,0,188.668444015944
"258",258,2023-11-11,"Saint Anselm",1,"Long Island",2,1,"NEWHA",0.801503669447787,0.198496330552213,1601.79778866543,1374.33657575512,1621.25042905955,1354.883935361,0,227.461212910315
"259",259,2023-11-11,"Saint Michael's",1,"Assumption",3,0,"NEWHA",0.795377498579272,0.204622501420728,1181.81587388848,960.967909446207,1203.50585903907,939.27792429561,0,220.847964442269
"260",260,2023-11-11,"Post",1,"Franklin Pierce",3,0,"NEWHA",0.750773141477556,0.249226858522444,1242.19965197386,1065.63409826043,1268.61769897724,1039.21605125705,0,176.565553713428
"261",261,2023-11-11,"Mercyhurst",1,"Princeton",5,0,"Non-Conference",0.758747636794425,0.241252363205575,1583.49877005497,1399.44845996488,1612.93155836606,1370.0156716538,0,184.050310090095
"262",262,2023-11-11,"Clarkson",3,"St. Lawrence",0,0,"Non-Conference",0.341384780038077,0.658615219961923,1805.95197943776,1935.10702246339,1767.03411451342,1974.02488738773,0,129.155043025634
"263",263,2023-11-11,"Rensselaer",1,"Yale",4,0,"ECAC",0.830203046669982,0.169796953330018,1654.32241920532,1393.62064744897,1673.67927188494,1374.26379476935,0,260.701771756351
"264",264,2023-11-11,"Cornell",4,"Dartmouth",2,0,"ECAC",0.0545684801188943,0.945431519881106,1288.96844279683,1799.44373061731,1283.18418390422,1805.22798950991,0,510.475287820477
"265",265,2023-11-11,"Union",0,"Brown",2,0,"ECAC",0.709008932091654,0.290991067908346,1472.12015657523,1332.41133732859,1502.96520977351,1301.5662841303,0,139.70881924664
"266",266,2023-11-11,"Colgate",10,"Harvard",1,0,"ECAC",0.0243995601429878,0.975600439857012,1238.15843177465,1893.91442784402,1234.20570303149,1897.86715658718,0,655.755996069363
"267",267,2023-11-14,"Boston University",1,"Harvard",3,0,"Non-Conference",0.147778706644467,0.852221293355533,1234.20570303149,1553.58191097219,1324.54116012718,1463.2464538765,0,319.376207940697
"268",268,2023-11-17,"Boston University",3,"Boston College",5,0,"Hockey East",0.720914239951605,0.279085760048395,1613.1048243832,1463.2464538765,1642.68791494833,1433.66336331137,0,149.858370506701
"269",269,2023-11-17,"Merrimack",1,"Providence",0,0,"Hockey East",0.571121176448564,0.428878823551436,1470.3558580535,1435.59839379873,1414.38598276154,1491.56826909069,0,34.7574642547684
"270",270,2023-11-17,"Maine",3,"Vermont",0,0,"Hockey East",0.82880067347678,0.17119932652322,1648.3092975503,1389.33008018178,1553.82602077395,1483.81335695813,0,258.979217368519
"271",271,2023-11-17,"Holy Cross",0,"Connecticut",3,0,"Hockey East",0.868402117905175,0.131597882094825,1710.94037923385,1398.15158960882,1725.94253779266,1383.14943105001,0,312.788789625022
"272",272,2023-11-17,"Long Island",1,"Stonehill",0,0,"NEWHA",0.178365722629963,0.821634277370037,1340.9035684903,1621.25042905955,1323.42372767257,1638.73026987729,0,280.346860569247
"273",273,2023-11-17,"Sacred Heart",1,"Saint Michael's",0,0,"NEWHA",0.115922064801006,0.884077935198994,939.27792429561,1307.20770166212,927.917561945111,1318.56806401262,0,367.929777366515
"274",274,2023-11-17,"Saint Anselm",2,"Franklin Pierce",1,1,"NEWHA",0.398854231262031,0.601145768737969,1268.61769897724,1354.883935361,1229.52998431356,1393.97165002468,0,86.2662363837633
"275",275,2023-11-17,"Yale",2,"St. Lawrence",3,0,"ECAC",0.651068813945393,0.348931186054607,1767.03411451342,1673.67927188494,1801.22937074677,1639.48401565159,0,93.354842628476
"276",276,2023-11-17,"Brown",3,"Clarkson",3,1,"ECAC",0.942566808723181,0.0574331912768187,1974.02488738773,1502.96520977351,1934.19387460265,1542.7962225586,1,471.059677614222
"277",277,2023-11-17,"Quinnipiac",3,"Cornell",1,0,"ECAC",0.597344674891853,0.402655325108147,1805.22798950991,1751.71136972237,1741.90945397137,1815.02990526091,0,53.5166197875387
"278",278,2023-11-17,"Princeton",1,"Colgate",7,0,"ECAC",0.848972915170764,0.151027084829236,1897.86715658718,1612.93155836606,1918.70889429362,1592.08982065962,0,284.935598221126
"279",279,2023-11-17,"St. Cloud State",1,"St. Thomas",0,0,"WCHA",0.254873309543093,0.745126690456907,1477.34187329743,1678.7041780152,1452.3642889622,1703.68176235042,0,201.362304717775
"280",280,2023-11-17,"Minnesota",3,"Minnesota-Duluth",1,0,"WCHA",0.453092716099046,0.546907283900953,1771.90067636122,1819.5913271467,1723.87284845472,1867.6191550532,0,47.6906507854828
