"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"32",32,2023-09-30,"Maine",1,"Quinnipiac",5,0,"Non-Conference",0.835217725907916,0.164782274092084,1669.54476834842,1402.58908404892,1689.64820578765,1382.48564660969,0,266.955684299497
"33",33,2023-09-30,"Mercyhurst",5,"St. Lawrence",6,1,"Non-Conference",0.713339191344453,0.286660808655547,1637.27379940562,1493.90269402413,1665.36655865386,1465.80993477588,0,143.371105381495
"34",34,2023-09-30,"Boston College",2,"Clarkson",4,0,"Non-Conference",0.769845900778727,0.230154099221273,1734.44375990664,1539.68972502743,1758.8400944241,1515.29339050997,0,194.754034879215
"35",35,2023-09-30,"Robert Morris",3,"Union",2,1,"Non-Conference",0.459092885698335,0.540907114301665,1369.63164707924,1413.12049937974,1324.6405442808,1458.11160217818,0,43.4888523005043
"36",36,2023-09-30,"New Hampshire",6,"Saint Anselm",1,0,"Non-Conference",0.329952417623082,0.670047582376918,1348.54221672447,1486.60394859243,1305.64840243347,1529.49776288343,0,138.061731867963
"37",37,2023-09-30,"RIT",5,"Assumption",1,0,"Non-Conference",0.627252572418225,0.372747427581775,1420.90796453314,1345.49684609155,1344.38315069812,1422.02165992657,0,75.4111184415949
"38",38,2023-09-30,"Franklin Pierce",2,"St. Thomas",5,0,"Non-Conference",0.586638233055173,0.413361766944827,1439.38263916294,1393.56661558822,1486.50588059465,1346.44337415651,0,45.8160235747175
"39",39,2023-09-30,"Northeastern",2,"Long Island",0,0,"Non-Conference",0.146560740677255,0.853439259322745,1461.76658658957,1782.82857297532,1446.23114807778,1798.36401148711,0,321.061986385744
"40",40,2023-10-01,"Saint Michael's",2,"New Hampshire",4,0,"Non-Conference",0.886781692632767,0.113218307367233,1529.49776288343,1186.93773855467,1541.49890346436,1174.93659797374,0,342.560024328764
"41",41,2023-10-05,"Boston College",3,"Wisconsin",5,0,"Non-Conference",0.884437876607217,0.115562123392783,1853.83411853488,1515.29339050997,1866.08370361452,1503.04380543034,0,338.540728024911
